time,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2021-11-26 12:00:00,139072.2232,3984.92,3913.0,4126.69,4063.94,4063.95,0,-1,-1,0.0,0,0
2021-11-26 16:00:00,61768.0587,4063.95,4023.0,4114.53,4082.94,4082.94,0,0,0,-0.024597733455125725,0,-1
2021-11-26 20:00:00,52302.6539,4082.94,4027.08,4127.78,4041.2,4041.2,0,0,0,0.0,0,0
2021-11-27 00:00:00,51616.6579,4041.2,4028.34,4149.0,4115.01,4115.01,0,0,0,0.0,0,0
2021-11-27 04:00:00,36659.4451,4115.01,4087.94,4147.73,4123.82,4123.81,0,0,0,0.0,0,0
2021-11-27 08:00:00,59057.0798,4123.81,4104.94,4183.66,4111.82,4112.1,0,0,0,0.0,0,0
2021-11-27 12:00:00,37498.0595,4112.1,4105.48,4160.95,4132.82,4133.08,0,0,0,0.0,0,0
2021-11-27 16:00:00,35752.7921,4133.08,4112.57,4159.31,4115.25,4115.25,0,0,0,0.0,0,0
2021-11-27 20:00:00,54742.4858,4115.25,4031.91,4128.88,4095.29,4095.29,0,0,0,0.0,0,0
2021-11-28 00:00:00,60550.939,4095.29,3976.75,4096.18,4026.03,4026.04,0,0,0,0.0,0,0
2021-11-28 04:00:00,33546.3135,4026.04,4005.44,4080.01,4069.31,4069.32,0,0,0,0.0,0,0
2021-11-28 08:00:00,36923.5382,4069.32,4033.33,4130.78,4096.6,4096.28,0,0,0,0.0,0,0
2021-11-28 12:00:00,36011.6141,4096.28,4045.53,4116.09,4077.74,4077.74,0,0,0,0.0,0,0
2021-11-28 16:00:00,79956.1153,4077.74,3964.0,4127.0,4098.9,4099.01,0,0,0,0.0,0,0
2021-11-28 20:00:00,99482.835,4099.01,4098.91,4298.51,4294.78,4294.77,0,0,0,0.0,0,0
2021-11-29 00:00:00,104398.3638,4294.77,4282.07,4375.0,4306.75,4306.76,0,0,0,0.0,0,0
2021-11-29 04:00:00,59890.1078,4306.76,4305.22,4366.28,4350.74,4350.66,0,0,0,0.0,0,0
2021-11-29 08:00:00,52716.1369,4350.66,4276.89,4359.51,4296.64,4296.64,0,0,0,0.0,0,0
2021-11-29 12:00:00,59450.1267,4296.64,4295.0,4390.0,4336.08,4336.07,0,0,0,0.0,0,0
2021-11-29 16:00:00,86104.6309,4336.07,4328.32,4458.92,4387.04,4386.99,0,0,0,0.0,0,0
2021-11-29 20:00:00,44321.8623,4386.99,4383.09,4457.27,4444.53,4444.54,0,0,0,0.0,0,0
2021-11-30 00:00:00,95429.2151,4444.54,4401.01,4502.6,4435.24,4434.97,0,0,0,0.0,0,0
2021-11-30 04:00:00,76720.1239,4434.97,4346.36,4458.74,4412.82,4412.81,0,0,0,0.0,0,0
2021-11-30 08:00:00,123842.1566,4412.81,4390.94,4600.55,4590.47,4590.47,0,0,0,0.0,0,0
2021-11-30 12:00:00,213070.2225,4590.47,4568.06,4753.0,4613.85,4613.85,0,0,0,0.0,0,0
2021-11-30 16:00:00,181140.0178,4613.85,4520.01,4694.46,4663.23,4663.23,0,0,0,0.0,0,0
2021-11-30 20:00:00,52822.7303,4663.23,4598.3,4675.0,4630.26,4630.25,0,0,0,0.0,0,0
